Id,Year,Total,White,Black or African American,Hispanic,Asian
1500000US220710094001,2000,577,15,551,3,2
1500000US220710094002,2000,433,2,422,0,0
1500000US220710094003,2000,559,6,552,0,0
1500000US220710094004,2000,621,6,613,9,0
1500000US220710096001,2000,546,341,186,35,3
1500000US220710096002,2000,647,189,439,26,0
1500000US220710096003,2000,417,53,361,5,0
1500000US220710097001,2000,696,305,370,35,5
1500000US220710097002,2000,914,179,716,16,3
1500000US220710099001,2000,1262,936,280,48,16
1500000US220710099002,2000,987,754,193,53,9
1500000US220710099003,2000,993,817,129,50,26
1500000US220710100001,2000,624,7,605,4,1
1500000US220710100002,2000,368,4,363,5,0
1500000US220710100003,2000,783,227,516,23,15
1500000US220710100004,2000,580,11,564,0,0
1500000US220710101001,2000,1141,400,701,37,5
1500000US220710101002,2000,1288,883,320,46,44
1500000US220710102001,2000,514,16,494,17,0
1500000US220710102002,2000,538,7,523,8,1
1500000US220710102003,2000,564,6,549,8,2
1500000US220710102004,2000,609,90,503,23,2
1500000US220710102005,2000,471,40,411,15,9
1500000US220710103001,2000,1072,12,1050,13,4
1500000US220710103002,2000,1118,16,1092,21,0
1500000US220710103003,2000,741,96,625,19,3
1500000US220710103004,2000,492,49,435,16,1
1500000US220710104001,2000,395,190,186,16,9
1500000US220710105001,2000,786,392,362,31,7
1500000US220710105002,2000,635,193,416,25,1
1500000US220710106001,2000,752,330,401,19,1
1500000US220710106002,2000,822,332,461,44,3
1500000US220710107001,2000,807,564,201,35,10
1500000US220710107002,2000,1042,529,463,34,15
1500000US220710108001,2000,523,485,19,22,3
1500000US220710108002,2000,926,768,116,31,14
1500000US220710109001,2000,773,118,635,14,5
1500000US220710109002,2000,1172,762,370,52,8
1500000US220710109003,2000,798,675,90,25,19
1500000US220710109004,2000,640,100,528,21,1
1500000US220710111001,2000,925,101,795,16,2
1500000US220710111002,2000,804,126,648,9,6
1500000US220710111003,2000,717,109,587,19,1
1500000US220710112001,2000,736,481,214,39,8
1500000US220710112002,2000,798,441,322,29,6
1500000US220710114001,2000,768,679,44,45,9
1500000US220710114002,2000,1074,994,38,39,7
1500000US220710115001,2000,780,741,29,29,5
1500000US220710115002,2000,912,751,114,25,14
1500000US220710116001,2000,782,728,23,23,11
1500000US220710116002,2000,747,707,25,11,10
1500000US220710117001,2000,675,618,31,23,15
1500000US220710117002,2000,617,594,4,10,10
1500000US220710117003,2000,758,737,9,20,5
1500000US220710117004,2000,969,928,19,32,12
1500000US220710119001,2000,543,500,18,32,6
1500000US220710119002,2000,692,635,8,41,21
1500000US220710119003,2000,529,476,5,22,27
1500000US220710120001,2000,433,403,15,23,7
1500000US220710120002,2000,918,809,81,37,9
1500000US220710121011,2000,993,788,131,76,29
1500000US220710121012,2000,1240,1076,58,58,79
1500000US220710121021,2000,700,618,29,36,30
1500000US220710121022,2000,1882,1538,158,114,54
1500000US220710121023,2000,728,664,8,39,22
1500000US220710122001,2000,1257,899,193,81,96
1500000US220710122002,2000,934,866,24,38,31
1500000US220710123001,2000,587,98,467,26,3
1500000US220710123002,2000,942,286,612,52,7
1500000US220710123003,2000,746,530,163,51,15
1500000US220710124001,2000,726,235,476,19,6
1500000US220710124002,2000,1147,557,563,33,8
1500000US220710125001,2000,681,578,69,35,20
1500000US220710125002,2000,1091,451,592,39,27
1500000US220710126001,2000,652,535,89,43,13
1500000US220710126002,2000,694,421,228,24,17
1500000US220710126003,2000,583,531,13,38,14
1500000US220710127001,2000,778,302,451,16,10
1500000US220710127002,2000,597,230,345,21,8
1500000US220710127003,2000,664,406,241,29,5
1500000US220710127004,2000,470,407,35,28,5
1500000US220710128001,2000,1173,774,348,51,30
1500000US220710128002,2000,591,475,50,33,39
1500000US220710128003,2000,912,596,242,31,25
1500000US220710129001,2000,841,594,199,55,12
1500000US220710129003,2000,731,164,555,17,1
1500000US220710130001,2000,677,184,472,14,3
1500000US220710130002,2000,690,190,483,6,11
1500000US220710130003,2000,626,112,499,11,3
1500000US220710131001,2000,565,3,555,4,0
1500000US220710131002,2000,667,9,649,10,0
1500000US220710131003,2000,470,10,459,12,0
1500000US220710131004,2000,454,6,431,10,3
1500000US220710132001,2000,613,168,440,11,1
1500000US220710132002,2000,1151,155,964,28,13
1500000US220710132003,2000,832,139,671,8,2
1500000US220710132004,2000,636,199,418,10,0
1500000US220710133011,2000,1517,1459,6,41,38
1500000US220710133012,2000,804,767,5,23,16
1500000US220710133013,2000,612,589,8,11,11
1500000US220710133014,2000,682,659,5,23,11
1500000US220710133021,2000,1288,830,382,59,44
1500000US220710133022,2000,874,794,29,21,38
1500000US220510201011,2000,1425,1320,8,64,52
1500000US220510201012,2000,1374,1348,1,31,10
1500000US220510201021,2000,1058,1031,1,23,16
1500000US220510201022,2000,1430,1367,13,60,19
1500000US220510201023,2000,877,860,1,8,12
1500000US220510202011,2000,801,673,33,49,48
1500000US220510202012,2000,1248,1117,25,106,64
1500000US220510202021,2000,3080,1786,612,788,217
1500000US220510202022,2000,325,254,22,59,26
1500000US220510202031,2000,605,557,1,25,34
1500000US220510202032,2000,2274,2148,0,80,106
1500000US220510202033,2000,1438,1322,7,59,77
1500000US220510202034,2000,1113,1051,4,44,36
1500000US220510202035,2000,1815,1357,151,352,101
1500000US220510203011,2000,1233,1194,4,33,19
1500000US220510203012,2000,2083,1960,1,92,67
1500000US220510203021,2000,1846,1670,11,77,112
1500000US220510203022,2000,1636,1507,6,118,55
1500000US220510203023,2000,898,801,7,75,60
1500000US220510203024,2000,961,892,6,52,41
1500000US220510203032,2000,1567,1456,3,71,77
1500000US220510203033,2000,1009,948,14,49,26
1500000US220510203034,2000,1197,1113,12,92,35
1500000US220510204001,2000,1614,1512,10,59,66
1500000US220510204002,2000,1877,1806,3,59,58
1500000US220510205021,2000,2657,1986,369,489,83
1500000US220510205022,2000,2536,2094,150,553,54
1500000US220510205023,2000,1096,905,90,243,30
1500000US220510205051,2000,1163,21,1119,28,0
1500000US220510205052,2000,1003,194,745,121,4
1500000US220510205061,2000,2474,1584,153,1298,124
1500000US220510205063,2000,1590,1378,88,209,53
1500000US220510205064,2000,1437,1228,85,161,40
1500000US220510205071,2000,2144,1809,140,233,93
1500000US220510205072,2000,2156,1808,92,460,65
1500000US220510205081,2000,3185,2410,358,659,99
1500000US220510205082,2000,1905,1295,347,478,33
1500000US220510205083,2000,1913,1596,196,135,80
1500000US220510205091,2000,982,708,157,135,52
1500000US220510205092,2000,1388,1070,146,302,30
1500000US220510205093,2000,907,776,78,62,16
1500000US220510205094,2000,3169,1525,1211,860,35
1500000US220510205095,2000,1604,1105,334,219,30
1500000US220510205101,2000,1759,1534,81,91,121
1500000US220510205102,2000,2442,1983,255,145,133
1500000US220510205103,2000,213,180,18,21,11
1500000US220510205111,2000,1641,1219,313,182,29
1500000US220510205112,2000,1484,1205,129,116,104
1500000US220510205113,2000,1091,961,35,87,63
1500000US220510205121,2000,1355,1157,94,112,71
1500000US220510205122,2000,480,449,14,17,14
1500000US220510205123,2000,1155,827,170,171,72
1500000US220510205131,2000,1271,774,305,229,29
1500000US220510205132,2000,954,826,45,53,45
1500000US220510205133,2000,1229,943,160,209,38
1500000US220510205134,2000,1099,904,115,98,15
1500000US220510205141,2000,1706,1624,6,64,65
1500000US220510205142,2000,1056,996,9,28,41
1500000US220510205143,2000,1415,1322,8,95,59
1500000US220510206001,2000,906,443,423,78,8
1500000US220510206002,2000,912,230,647,67,2
1500000US220510206003,2000,2178,343,1727,128,25
1500000US220510206004,2000,1515,125,1337,59,3
1500000US220510206005,2000,1,0,0,0,0
1500000US220510206006,2000,1,1,0,0,0
1500000US220510207001,2000,297,106,175,16,0
1500000US220510207002,2000,1215,578,532,121,14
1500000US220510208001,2000,234,17,214,9,0
1500000US220510208002,2000,998,236,751,8,0
1500000US220510209001,2000,367,15,346,6,0
1500000US220510209002,2000,760,63,678,3,0
1500000US220510210001,2000,992,731,182,96,6
1500000US220510210002,2000,682,497,162,38,5
1500000US220510210003,2000,912,508,337,87,6
1500000US220510211001,2000,765,664,29,75,13
1500000US220510211002,2000,771,705,31,54,4
1500000US220510211003,2000,844,561,237,66,11
1500000US220510212001,2000,1133,1025,42,110,35
1500000US220510212002,2000,1375,794,435,218,39
1500000US220510213001,2000,1426,1383,10,126,7
1500000US220510213002,2000,797,729,19,74,8
1500000US220510213003,2000,836,746,19,64,44
1500000US220510214001,2000,1151,1090,11,70,21
1500000US220510214002,2000,989,924,8,96,18
1500000US220510215001,2000,2976,1981,539,297,190
1500000US220510216001,2000,2346,1959,198,164,82
1500000US220510216002,2000,1604,1485,58,162,11
1500000US220510216003,2000,2473,2095,131,335,50
1500000US220510217001,2000,974,833,23,123,43
1500000US220510217002,2000,742,638,35,77,35
1500000US220510217003,2000,711,656,2,58,30
1500000US220510217004,2000,590,535,26,42,14
1500000US220510217005,2000,805,759,5,79,11
1500000US220510217006,2000,1592,1182,157,217,136
1500000US220510218011,2000,2200,1921,59,210,133
1500000US220510218012,2000,1047,903,47,142,27
1500000US220510218021,2000,1952,1247,210,417,174
1500000US220510218022,2000,4807,3016,1192,701,222
1500000US220510219001,2000,1947,1582,137,268,107
1500000US220510220011,2000,31,29,0,2,0
1500000US220510220012,2000,1652,872,582,205,49
1500000US220510220013,2000,3001,2133,493,293,166
1500000US220510220021,2000,1263,1245,4,35,4
1500000US220510220022,2000,521,508,5,10,3
1500000US220510220023,2000,925,912,1,56,0
1500000US220510221011,2000,1381,1324,6,21,29
1500000US220510221021,2000,1230,1066,82,62,41
1500000US220510221022,2000,1288,1166,42,71,43
1500000US220510222001,2000,1187,1159,1,31,12
1500000US220510222002,2000,650,631,0,54,6
1500000US220510222003,2000,658,624,7,28,16
1500000US220510223011,2000,946,893,3,28,41
1500000US220510223012,2000,1019,976,0,43,21
1500000US220510223013,2000,903,823,36,54,24
1500000US220510223021,2000,1044,1005,6,45,15
1500000US220510223022,2000,796,757,4,41,19
1500000US220510223031,2000,1619,1296,64,162,167
1500000US220510223032,2000,1233,959,66,187,117
1500000US220510224001,2000,458,449,1,21,1
1500000US220510224002,2000,1189,1174,1,42,2
1500000US220510224004,2000,1763,1710,8,82,6
1500000US220510225001,2000,666,648,2,24,6
1500000US220510225002,2000,1270,1234,7,47,9
1500000US220510225004,2000,1027,1006,3,29,3
1500000US220510226001,2000,876,872,1,15,2
1500000US220510226002,2000,894,877,3,15,8
